product_id,product_name,brand,category,department,sub_department,base_price,unit_of_measure,is_perishable,supplier_id
1,repurpose transparent e-commerce,Bailey-Flores,Clothing - Men,Clothing,Men,451.89,each,False,40
2,expedite proactive content,Huerta,Beauty - Makeup,Beauty,Makeup,290.62,each,False,17
3,transition visionary e-business,Alexander,Electronics - Phones,Electronics,Phones,164.7,each,False,23
4,aggregate out-of-the-box eyeballs,"Farrell,",Home - Bathroom,Home,Bathroom,393.67,set,False,68
5,re-intermediate B2B technologies,Cooper,Health - First Aid,Health,First Aid,415.57,oz,False,62
6,monetize customized info-mediaries,Rivera,Garden - Outdoor Furniture,Garden,Outdoor Furniture,402.5,lb,False,10
7,incubate killer e-tailers,"Mills,",Clothing - Women,Clothing,Women,430.34,each,False,72
8,drive B2B web services,Bennett,Toys - Action Figures,Toys,Action Figures,395.75,each,False,34
9,mesh revolutionary portals,Brown,Health - Vitamins,Health,Vitamins,228.47,each,False,96
10,generate real-time markets,Pena-Smith,Garden - Decor,Garden,Decor,191.74,gal,False,48
11,synergize real-time web services,"Ward,",Electronics - TVs,Electronics,TVs,236.79,each,False,79
12,matrix integrated e-services,Romero-Mckinney,Home - Kitchen,Home,Kitchen,318.42,set,False,90
13,productize turn-key models,"Schmidt,",Garden - Grills,Garden,Grills,60.09,each,False,5
14,target vertical paradigms,Nielsen,Garden - Grills,Garden,Grills,59.82,each,False,69
15,facilitate holistic interfaces,"Moore,",Clothing - Shoes,Clothing,Shoes,227.9,each,False,76
16,whiteboard seamless action-items,"Hill,",Clothing - Shoes,Clothing,Shoes,328.14,each,False,79
17,synergize proactive schemas,Perez-Peterson,Sporting Goods - Team Sports,Sporting Goods,Team Sports,18.28,set,False,28
18,strategize global infrastructures,"Reyes,",Beauty - Fragrance,Beauty,Fragrance,475.37,ml,False,13
19,whiteboard bleeding-edge e-markets,Berry,Toys - Outdoor,Toys,Outdoor,451.03,set,False,8
20,monetize open-source systems,"Anderson,",Sporting Goods - Team Sports,Sporting Goods,Team Sports,96.51,each,False,59
21,innovate 24/365 channels,Barker-Roach,Electronics - TVs,Electronics,TVs,321.56,each,False,7
22,redefine global e-commerce,Douglas,Toys - Puzzles,Toys,Puzzles,494.42,each,False,9
23,redefine granular vortals,Grant,Health - Medicine,Health,Medicine,294.01,count,False,43
24,embrace viral vortals,Acosta,Clothing - Accessories,Clothing,Accessories,3.4,each,False,17
25,matrix transparent e-markets,Ramos-Peck,Health - First Aid,Health,First Aid,399.65,count,False,85
26,productize efficient eyeballs,Rodriguez,Grocery - Produce,Grocery,Produce,9.39,lb,True,76
27,utilize real-time metrics,"Salazar,",Toys - Action Figures,Toys,Action Figures,88.76,each,False,17
28,utilize synergistic infrastructures,"Chan,",Sporting Goods - Winter Sports,Sporting Goods,Winter Sports,58.59,each,False,61
